s_1;email;statoverall_1;statoverall_2;statoverall_3;statoverall_4;statoverall_5;s_10;s_11;s_12;s_13;s_14;s_2;s_3;s_4;s_5;s_6;s_7;s_8;s_9;s_17;s_15;s_18;s_16;id;s_35;s_30;s_31;s_32;s_33;s_21;s_34;s_23;s_26
6;"";0;0;0;1;0;3;2;1;5;1;7;4;7;7;7;7;6;4;4;"";"What would be the scenario if I press the right pincode, but the wrong symbol by mistake? How do I reach out and make clear that there is no threat. And also, how do I know if I pressed the right symbol? I could do that by mistake and only find out after the police or home security guards come knocking.";"";"H640hdNDuM";"";;;;;;;;
7;"";0;0;0;1;0;3;2;2;5;1;7;6;6;6;6;5;6;6;4;"Seems practical and conceptually simple to use.";"The lack of feedback (indication of succesful activation) when activating the silent system might make me insecure.";"";"bTE0l2gLHN";"";;;;;;;;
7;"";0;0;0;1;0;3;2;1;5;3;4;7;7;4;5;3;6;3;5;"I am concerned about false positives - if I accidentally activate it by pressing the wrong final button without knowing.";"";"";"LVY5Z72xMm";"";;;;;;;;
7;"";0;0;0;1;0;4;2;3;3;2;6;5;6;4;6;6;4;4;4;"";"";"";"i67YynhnEA";"";;;;;;;;
7;"";0;0;0;1;0;3;3;4;5;3;4;3;5;7;7;7;7;7;5;"";"";"";"70czfCTKsa";"";;;;;;;;
1;"";0;0;0;1;0;;1;1;1;1;1;1;1;1;1;1;1;1;1;"test";"test";"";"sGTLhdNZ35";"";;;;;;;;
6;"";0;0;0;1;0;3;1;1;3;6;6;1;4;4;5;3;6;4;3;"";"";"";"WRzRCR2fIl";"";;;;;;;;
7;"";0;0;0;1;0;2;3;4;1;1;7;5;7;7;7;7;7;7;4;"";"";"";"GQcXdv4ykk";"";;;;;;;;
7;"";0;0;0;1;0;6;3;3;1;1;7;6;7;7;7;7;7;6;4;"Seems very simple and straight forward to understand";"Would not in all cases activate it - would depend on the situation";"";"5QTSKmOKo6";"";;;;;;;;
2;"";0;0;0;1;0;5;7;6;4;5;2;2;2;2;2;2;2;2;1;"test";"test";"test";"jBbGoCP8uV";"test";4;4;3;3;3;3;4;4
2;"";0;0;0;1;0;3;2;1;3;1;4;4;6;6;4;4;2;4;3;"";"";"";"bWa37O0Rvf";"denmark";3;1;3;4;2;5;6;3
7;"";0;0;0;1;0;3;3;1;5;1;4;5;6;4;7;4;4;4;3;"I understand the potential of the system, however if an assailant where to attack me during code entry i would simply let them in no amount of money is worth risk dying for.";"";"";"JKHKAatxlJ";"denmark";1;1;7;7;7;7;4;4
5;"";0;0;0;1;0;3;4;2;2;1;4;4;4;4;4;4;4;3;2;"";"";"";"PVm8QYY1Vx";"Denmark";7;1;6;5;4;4;4;4
6;"";0;0;0;1;0;3;4;2;3;1;3;5;5;6;6;6;5;6;4;"Nope - ret lige til";"";"";"6okgYNaIHV";"Denmark";1;6;7;7;7;6;6;6
6;"";0;0;0;1;0;3;2;2;5;1;6;4;5;5;6;6;7;7;5;"";"";"";"83Wb3JWJgN";"Denmark";6;6;6;6;6;6;6;6
2;"";0;0;0;1;0;3;2;3;5;2;1;4;7;4;6;4;4;4;1;"Det er en god idé.";"Ja. I dagligdagen kan det blive et problem for mig at huske forskellen på at frakoble og igangsætte alarmsystemet.";"";"gJ3lABJuT2";"Denmark";6;6;4;2;6;2;3;2
7;"";0;0;0;1;0;3;3;2;3;6;6;5;7;6;7;6;6;4;4;"";"";"I used my phone";"rVl75JzVxv";"Denmark";2;7;6;6;7;6;7;6
2;"";0;0;0;1;0;7;1;1;3;6;2;2;2;2;6;2;2;4;2;"";"";"Used my phone to the test";"OA5YuXpsFX";"Danmark";2;2;6;6;7;5;7;7
6;"";0;0;0;1;0;3;2;1;3;1;6;7;6;6;5;6;6;6;2;"";"";"";"jhAJTKUQ5S";"Denmark";7;7;6;6;5;4;5;5
3;"";0;0;0;1;0;3;2;1;5;1;3;6;6;4;3;5;4;4;2;"";"";"";"cafYNUfAEG";"Denmark";1;6;6;6;5;3;3;3
3;"";0;0;0;1;0;3;2;3;3;1;4;6;5;4;4;3;4;4;1;"Tænker i en stresset situation, hvor man bliver presset til at lukke nogen ind i sit hjem ville det kræve en del overskud for at huske sin silent alarm.";"";"";"BDkifRB9hd";"Danmark";3;5;4;4;3;3;2;4
7;"";0;0;0;1;0;3;2;1;3;2;7;7;7;7;7;7;7;6;4;"I only got to write the two codes once each. Was that the whole survey or maybe a bug?";"";"";"Qjc0eQmmNT";"Türkiye";1;7;7;7;7;7;7;7
7;"";0;0;0;1;0;3;4;1;5;1;6;5;5;4;3;5;3;6;4;"I think it works great - but I?m not sure what happens after I press the right pin but a wrong symbol";"No";"";"OBMckIDYUA";"Denmark";1;7;7;7;7;7;6;7
5;"";0;0;0;1;0;3;4;1;5;1;4;3;3;4;5;6;2;2;2;"No";"No";"";"v9x9hsJiRW";"Denmark";6;5;5;6;5;5;7;7
7;"";0;0;0;1;0;3;5;1;3;1;4;3;7;4;4;4;4;4;3;"I had a hard time answering a lot of the questions in the questionnaire on the past page - it seemed like i was supposed to 1) want to own a home sequirity system, which i don't 2) have used the system more than the simulation - how should i know if it performs like it should? I mean it does in the simulation, but i do not know in real life";"I would think that intruders quickly learned that this type of system existed which could lead to escalation of the conflict around turning off the security system.";"";"ogDANaPwp6";"Denmark";1;7;7;7;7;5;5;4
7;"";0;0;0;1;0;3;2;2;5;2;6;4;6;7;7;7;5;7;5;"Only used it once through this simulated instance. Seems like an easy to use alarm system with good functionality.";"";"";"Egz48Iwrdj";"Denmark";7;7;7;7;7;7;7;7
3;"";0;0;0;1;0;3;1;2;3;1;3;4;2;4;4;4;3;4;3;"";"";"";"rN50C8UaF9";"Denmark";6;7;7;4;6;6;4;4
6;"";0;0;0;1;0;3;1;2;3;3;5;5;5;6;6;5;3;4;1;"Hmm.. Considering having an intruder in your house - would you then have time to enter the symbol to alert police or other emergency services?     Would be useful to have it linked to your phone. If you have an intruder in your house, while being at home, most likely you would be held back or held hostage and thus not having access to the security system to enter the correct things to alert authorities. Just a thought though.";"linked to the above comment.";"Interesting system with a relevant feature.";"PLB7Fc4sSz";"Ukraine";2;5;7;5;7;4;3;4
6;"";0;0;0;1;0;3;1;2;5;1;6;4;5;5;5;5;6;4;4;"";"";"";"zWQHpQxLr1";"Denmark";3;5;5;5;5;5;6;4
6;"";0;0;0;1;0;3;1;2;5;1;3;5;6;4;6;5;3;3;3;"";"Is it only for when an intruder is there when you wall ik and demands you to use password? What about other situations. Fx. If they are inside hiding or similar..";"";"0xxcoNyF0i";"Denmark";7;4;4;6;4;6;5;7
7;"";0;0;0;1;0;3;3;1;3;1;4;2;7;4;7;7;7;7;4;"I do not understand the system's limitations - what if it is a public holiday and the security service is off duty? Does it call someone or does it trigger a ""red light"" in some office? How severe does the peril need to be? Should I be in mortal danger or just slightly worried and uncomfortable?";"";"";"3KhgidDAuq";"Denmark";1;7;7;7;7;7;7;7
7;"";0;0;0;1;0;3;2;2;5;1;4;4;7;4;7;7;4;4;1;"";"";"";"VYbwBNBvtu";"Denmark";7;7;7;7;6;6;6;6
7;"";0;0;0;1;0;3;3;2;2;6;6;6;7;4;6;6;6;4;5;"It seems too easy to activate the silent alarm by accident. only 1 digit in difference is a bit of a risk  - especially with children or elders.";"No, the system performs at it should, and provide an opportunity to contact security/police without knowledge of the assailant.";"";"8t8VEUB1WK";"Denmark";1;7;7;7;7;4;6;7
7;"";0;0;0;1;0;4;3;2;5;2;4;2;6;4;4;4;2;4;3;"If i was panicking, maybe i would not remember what to do";"";"";"22BiyDuFLC";"Denmark";1;6;7;7;7;7;7;7
7;"";0;0;0;1;0;4;3;2;5;1;6;2;6;4;4;5;4;4;4;"";"";"";"y2cSvdQFuH";"Denmark";7;7;7;7;4;7;7;7
7;"";0;0;0;1;0;8;2;2;3;1;7;7;7;7;7;7;7;7;5;"Super god";"Nej";"";"TfCO3ImHii";"Danmark";1;7;7;7;4;7;7;7
7;"";0;0;0;1;0;8;2;3;3;1;7;4;6;6;7;6;6;6;5;"Fine system";"No";"No";"b0SikeVOPh";"Denmark";2;1;6;6;1;6;6;6
7;"";0;0;0;1;0;3;3;2;5;6;2;5;4;6;7;6;7;7;2;"Not sure if i would remember the silent code if threatened as i would use my normal code 10000 times but rarely (or never hopefully) the silent code";"";"";"Av6zPcf9yO";"DK";1;7;7;7;7;7;5;5
7;"";0;0;0;1;0;3;5;1;3;1;7;7;7;7;7;7;7;7;4;"";"";"sejkora.jakub@gmail.com";"5XItQxsl8D";"Denmark";1;1;7;7;7;7;7;7
5;"";0;0;0;1;0;4;3;1;3;1;7;3;5;7;7;5;3;4;5;"";"";"";"55hN2nlDwk";"Denmark";6;6;6;5;6;6;6;6
7;"";0;0;0;1;0;2;1;1;3;6;6;5;5;4;4;4;3;4;3;"";"";"";"872Cfh0U3q";"Denmark";1;1;7;7;7;4;7;7
7;"";0;0;0;1;0;2;3;3;1;1;7;6;6;7;7;7;6;7;3;"";"";"";"Q2AGp5e3aW";"Denmark";3;7;6;3;7;7;5;7
6;"";0;0;0;1;0;3;3;2;3;1;4;5;6;5;5;3;2;5;2;"";"";"";"im9dv4MUbo";"Denmark";1;2;6;6;4;5;6;6
7;"";0;0;0;1;0;3;4;1;3;1;6;4;5;6;6;6;6;4;5;"";"";"";"TJWZceRDzw";"Denmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;2;1;1;3;3;6;6;6;3;6;6;6;6;2;"";"";"";"o21qxLAPDI";"Denmark";2;6;7;4;4;6;4;7
7;"";0;0;0;1;0;2;2;1;3;3;7;7;7;7;7;7;7;7;4;"I like it but I dont think I would use it, since it is not a problem in my home country, a normal security system is enough:) but I think it is a good idea";"I think that people that are used to normal security system might forget to press animal. So for it to work well it must be necessary to press any animal for the security system to work.";"";"3tv0YJp5Fw";"Denmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;3;2;2;3;2;6;7;5;4;6;6;3;4;5;"In a stressful situation which happens rarely I would hlave hard time remembering the code. Also I dont remember it it alarms Police or who?";"Remembering the pin";"";"OATkBzlWjJ";"Denmark";1;2;6;6;6;7;5;6
7;"";0;0;0;1;0;3;2;1;2;2;6;7;7;7;7;7;7;7;5;"What happens if I accidentally press the right code but the wrong symbol? Would I have to pay a fine for alerting emergency services when there is no emergency? Can I call the system owner and give a passcode or something to deactive the emergency call in a situation like this?";"I am not sure if in a situation like this I would be confident that the emergency services get to my home before the intruder leaves.";"";"jJpErQjnuR";"Denmark";1;7;7;7;7;7;6;7
7;"";0;0;0;1;0;3;4;1;5;1;4;2;5;4;6;4;2;7;3;"";"";"";"Ik3owbQaBO";"Denmark";1;2;1;7;6;7;6;5
7;"";0;0;0;1;0;2;1;1;5;3;6;7;7;4;4;7;7;7;5;"Could it blink in a different color from green when silently alarmed? Obviously a color which is perceived as ""good"" by the intruder, but could reassure me that a silent alarm has been sent? The intruder probably won't know what the usual ""good"" color is, so a different color could go unnoticed.";"Might need a little bit of reassurance that I sent the alarm correctly.";"";"PqGUnxgtpa";"Denmark";1;7;7;7;7;6;6;7
3;"";0;0;0;1;0;3;1;1;3;1;4;5;4;4;3;5;5;4;2;"";"";"";"DN0tNJjK7D";"Denmark";4;6;4;2;6;4;4;3
7;"";0;0;0;1;0;3;3;3;1;2;6;6;6;7;7;5;6;4;3;"It depends on where to enter til pincode. If it is located at a fixed place then I think it potentially could be difficult to use depending on the threat.";"";"";"POqQ842dBY";"Denmark";1;6;7;6;4;6;5;5
7;"";0;0;0;1;0;3;1;2;3;1;5;5;5;4;6;5;4;4;3;"I could foresee a case where i would completely forget the panic pin, but that might just be a skill issue";"I would be slightly concerned for the situation that might occur if the intruder is aware of this new silent alarm technology?";"";"PKakwNx5bP";"Denmark";7;5;6;6;7;7;5;4
7;"";0;0;0;1;0;2;4;3;3;1;6;6;6;6;6;6;6;7;4;"I think the panic pin being a different code, can be somehow confusing, also there was no (silent)""signal"" (green light or else) when it was typed, so I think an button for sending signal would be faster or more helpful for me. I was not sure if the right pin were typed and I have called for help or I just typed the wrong numbers.";"";"";"NNEp8SZDH8";"Denmark";2;7;4;4;4;2;2;3
6;"";0;0;0;1;0;2;2;2;5;1;4;4;6;5;4;4;5;3;4;"It would have been nice if just a little light or something else indicated that the silent alarm had been used, just so you were certain that someone was called. And of course it should be something small like a little light blinking green instead of just showing green. But otherwise I found it very good that the pin was the same each time and it was only the symbol you had to change, because it can be hard to remember a different pin if you are stressed.";"";"";"BX1QOn14CU";"Denmark";1;7;7;7;3;5;5;5
7;"";0;0;0;1;0;2;1;2;3;1;7;6;6;6;6;6;5;6;3;"";"";"";"vBXHM8JP9F";"Danmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;2;5;1;3;3;6;6;5;6;4;6;6;6;3;"Seems like something that makes sense as long as you remember both pins and what both pins are for";"If you write the panic pin, the emergency contact should be called instantly, think it said something with. Should work. Use case is small.";"";"RrAnUMvtoY";"Denmark";1;6;6;7;6;6;6;4
7;"";0;0;0;1;0;2;4;2;3;1;7;4;6;4;4;6;7;4;4;"";"What if something goes wrong in the system, but the owner of the house trusts that the alarm was started?";"";"BlKXXQMmLP";"Denmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;2;3;1;3;1;3;2;5;4;4;4;4;4;3;"";"Wear and tear on a keypad might reveal what symbol is the correct one for disabling the alarm";"";"O9ICdIdHt5";"Denmark";1;6;6;7;7;5;4;4
3;"";0;0;0;1;0;2;2;1;5;1;4;1;1;4;4;4;2;4;4;"";"";"";"M9aREa031d";"denmark";6;4;4;2;2;4;2;3
7;"";0;0;0;1;0;2;3;1;3;1;3;6;6;7;3;2;7;7;1;"Feels very niche, and I don't believe remembering a second 4 digit code for such a niche situation would be helpful. I cannot imagine that in a situation where one is being forced to enter a pin code, IE. being held hostage one would remember the rarely used panic pin.";"Yes the panic pin feels unnecessary, having some variation with the regular pin (like holding a button down) to active the panic alarm seems more applicable.";"";"3WHWm6gqMZ";"Danmark";1;4;5;6;6;1;5;2
7;"";0;0;0;1;0;3;2;1;3;2;6;6;7;4;4;5;7;4;3;"";"";"";"74gFIZk4WU";"denmark";7;7;7;7;7;7;6;7
6;"";0;0;0;1;0;2;4;1;3;3;4;5;6;6;6;4;6;6;2;"Well this would be ideal if you realise you are in danger when next to the system.";"The concept is very good, just very important to remember the two different codes. As always 4 digit code alarms are easier to hack into but this is for extreme cases";"";"1sEnQkQapw";"Denmark";1;6;7;7;7;5;4;6
6;"";0;0;0;1;0;2;1;4;2;1;2;6;6;4;4;4;6;6;3;"";"";"";"smVnQQyCF8";"Poland";7;6;5;5;5;5;6;7
7;"";0;0;0;1;0;3;3;1;3;1;4;7;7;4;4;3;6;7;5;"";"";"";"BHNy8sGiuI";"Denmark";1;1;1;1;5;7;4;7
6;"";0;0;0;1;0;2;2;2;2;1;6;3;3;4;4;4;6;6;5;"";"";"";"8O4oR9CaMk";"Denmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;3;2;1;3;6;4;5;4;5;6;6;3;4;4;"I didn't really understand what the silent alarm feature was. Was it just pressing the wrong code 3 times?";"If i'm forced to put in my code, wouldn't it be better to have a secret code that triggers immediately, instead of putting in the wrong code 3 times?";"";"5JsAY8AXU0";"Denmark";6;6;6;5;5;5;5;6
6;"";0;0;0;1;0;2;4;2;3;1;4;5;6;4;4;4;5;4;2;"No";"I probably would not remember the codes unless i memorize them a lot";"";"iEsDEnau4q";"Denmark";2;6;4;6;4;6;6;4
6;"";0;0;0;1;0;2;5;3;5;6;5;6;6;5;6;6;6;6;4;"If you're in a rush, you may accidentally type the wrong last digit?";"Only the fact, the possibly of accidentally triggering the silent alarm, that could downplay future actual triggers.";"";"QqTwaykHvS";"Denmark";2;6;6;6;6;5;6;6
7;"";0;0;0;1;0;2;1;1;3;1;6;6;6;5;6;5;5;6;2;"The usability was good. And nice design.";"In a threatened situation I would probably forget the threatening code.";"frederikteisen02@gmail.com";"pq9s8R0FRo";"Denmark";1;5;5;5;6;5;6;6
7;"";0;0;0;1;0;2;3;2;3;3;6;7;7;6;7;5;6;7;2;"";"I feel its somewhat of an oversight that the fact that you might mistype will alert the silent alarm - although that would all depend on if it automatically alerts authorities or not.";"";"u8UsuNVevn";"Denmark";2;7;7;7;6;5;7;6
7;"";0;0;0;1;0;2;4;1;5;6;4;6;5;4;4;5;6;4;3;"It seems interesting that there is a panic code that can be used to make it seem as though you did enter the correct code to trick aggressors, however it was slightly difficult to remember the different codes.";"If you mix up the codes, you might accidentally trigger it when you mean to disarm it. This may be an issue for older users or people who otherwise have memory issues.";"";"1RIDE7ev2A";"Denmark";1;5;6;7;7;4;6;7
7;"";0;0;0;1;0;2;5;3;3;2;5;7;7;7;6;5;7;7;1;"The fun icons makes it less trustworthy";"If I am home, wouldnt the alarm already be turned off?";"";"OrOJ3ctsD8";"Denmark";1;6;6;6;7;3;5;3
6;"";0;0;0;1;0;3;4;1;1;1;6;4;6;6;6;6;3;5;2;"I might have misread the guide in the start, but I suddenly became in doubt whether i should use the symbol if a threat was there or if a threat was not there. Otherwise it seemed understanable and simple to use.";"Not in terms of the simulation given, but I was thinking to myself that It would probably be more likely that someone broke into my home, without having me to open the lock for them, and what do I do then?";"";"UyBiLAOpmN";"Denmark";5;4;6;3;6;6;6;6
7;"";0;0;0;1;0;3;3;1;3;2;7;7;7;7;7;6;7;7;4;"";"it creates uncertainty when you type in the system right code and wrong symbol to whether or not the police is actually coming, and if the alarm is made accidentally, then how would the user know";"";"qC94RxRSap";"Denmark";1;2;7;6;7;6;6;7
7;"";0;0;0;1;0;4;3;5;1;1;7;7;7;7;7;7;7;7;5;"it is great and life saving to have this option when there's threat to disarm the system in front of the intruder/criminal";"if it works then no concerns.";"the first survey question about understandability should be reversed";"Gcdl86KoA1";"Denmark";1;7;7;7;7;7;7;7
6;"";0;0;0;1;0;3;3;2;3;1;4;6;6;6;6;6;6;6;3;"";"";"";"KFqkHTtZpj";"Denmark";5;7;5;5;2;5;6;6
6;"";0;0;0;1;0;2;4;2;3;1;5;3;3;5;4;7;7;7;4;"While i love the idea, i dont know, if it is such a good idea to open my home, while threatened.";"No, it the idea is good";"";"yVrbejPEj2";"Denmark";1;7;6;6;6;6;3;4
7;"";0;0;0;1;0;2;1;1;5;2;7;7;7;7;7;7;7;7;5;"";"";"";"1ViKmQIVJe";"Denmark";1;6;6;7;7;7;7;7
6;"";0;0;0;1;0;2;2;1;5;1;7;6;6;7;7;7;7;7;5;"";"";"";"ahflyqsALO";"Denmark";1;7;7;7;6;7;7;7
6;"";0;0;0;1;0;3;2;2;3;1;6;6;6;6;6;6;6;6;4;"";"";"";"cw3SR3m0TZ";"Denmark";1;5;7;7;3;7;7;7
4;"";0;0;0;1;0;2;4;4;3;7;4;6;4;6;6;6;4;6;4;"";"";"";"65VJojAoqd";"Denmark";7;4;6;4;4;4;7;4
6;"";0;0;0;1;0;2;7;1;3;1;6;4;4;4;6;6;5;5;3;"";"";"";"pjuzTy8Onl";"Denmark";7;7;7;7;4;5;6;6
7;"";0;0;0;1;0;3;2;1;5;6;5;3;3;6;6;6;7;7;4;"It's great - I would use it. I'm wondering how well I would be able to remember the panic code in a critical situation - I guess if I take too long time to write it, the intruder might get suspicious. When having to remember the code initially, maybe you could have users write the code on a display to practice muscle memory. Personally, I remembered the code by visualising my hand's movement across the display. Like, 639 all come on the right side of the display.";"Nope - not except that I might not remember the code in stressfull situations.";"";"LARIr3RTEo";"Denmark";7;5;7;7;7;5;7;6
7;"";0;0;0;1;0;3;1;3;5;1;6;6;7;7;7;5;6;7;4;"Might feel insecure that panic code entered was just regular pin. Maybe implement 2 different ""correct"" Sounds?";"If pin panic code opens but sets alarm. Can intruder not still get in my house?";"";"671h7IKiV5";"Denmark";2;2;1;7;7;7;5;7
7;"";0;0;0;1;0;3;2;2;5;1;7;7;7;7;7;7;7;7;3;"The system was very easy to use.";"This was very easy to use, but also probably due to me being calm and collected. I'm not sure I would remember the panic-pin, as I would not use it everyday like the safe-pin.   Also, I'm not sure I would like a silent alarm. If someone intruded into my home or forced me inside, I would probably like to scare them away with a loud alarm. But I can also see the benefits of a silent alarm in some cases!";"";"4hHmCI9nU6";"Denmark";1;7;7;7;7;7;7;7
7;"";0;0;0;1;0;3;5;1;3;2;4;7;7;6;1;2;7;7;1;"I immediately had trouble recalling the panic password, and surely this is going to be an issue with an informed robber.";"Not being able to remember the panic password";"Rban@itu.dk";"xcINN2Z9DU";"Denmark";7;7;7;6;7;2;3;4
7;"";0;0;0;1;0;3;2;3;5;1;7;5;5;7;7;6;7;7;4;"";"";"";"CX1YJ4IdAN";"Denmark";1;1;1;2;1;1;3;1
7;"";0;0;0;1;0;2;3;2;5;2;4;7;7;4;7;7;7;7;5;"no";"no";"";"eGBtB26QGX";"Denmark";7;7;7;7;4;7;6;4
7;"";0;0;0;1;0;3;3;4;3;1;5;1;5;4;4;4;2;4;2;"I don't think I understood the scenario about an intruder forcing me to enter the code and call for help. It made it difficult for me to understand the concept and how it would work in real life.";"What happens if I enter the wrong code more than 3 times, does it still call for help? I mean if I were being attacked and didn't have the option to enter the correct code and I'm just pressing random number I would want it to call for help";"";"fH9hFGBkoK";"Denmark";4;6;5;2;4;4;4;4
3;"";0;0;0;1;0;2;4;1;1;2;4;6;5;4;5;6;5;6;3;"";"";"";"Zd3TjLnNCX";"Danmark";5;6;6;6;5;5;5;5
3;"";0;0;0;1;0;3;5;4;3;2;4;4;4;6;5;7;5;4;2;"Got a bit confused about whether to write the right pincode, when the intruder came in.";"No";"";"kbsaHhKTXX";"Denmark";4;5;4;3;5;6;4;3
7;"";0;0;0;1;0;3;2;1;5;1;5;6;6;6;6;6;6;6;4;"I think there could be more small details to signify that you have activated the silent alarm without intruders finding out. You could for an example make it blink in rhythm. So you are sure the system is activated.";"I feel I would like to have more feedback, that the system is in fact working somehow";"";"uH1rPIqXXV";"Denmark";7;1;1;3;1;1;4;7
7;"";0;0;0;1;0;3;4;2;5;3;7;7;7;7;7;6;7;7;5;"";"I am worried I would forget the PANIC pin-code.";"";"hb81ER9Gp3";"Denmark";1;6;7;7;7;6;7;7
7;"";0;0;0;1;0;3;2;2;5;1;7;5;6;7;6;5;6;6;1;"Wrongly putting in last digit by mistake in situations where you might be lacking cognitive capabilities, such as being intoxicated.";"";"";"Jgoxv5dEnQ";"Denmark";6;7;6;4;5;4;6;5
6;"";0;0;0;1;0;2;5;3;3;1;6;6;5;6;5;5;5;4;3;"";"";"";"laUS8SzJHA";"Denmark";2;3;5;4;5;6;3;6
7;"";0;0;0;1;0;4;1;1;5;2;2;6;7;4;6;6;6;4;4;"Just wanna note that in the ""you are being followed"" condition, I deliberately entered the wrong PIN to see what would happen. The instructions were clear enough?I just chose to ignore them.";"Hard to appraise the system in and of itself. My sense of how effective such a system is or could be, is always gonna be influenced by the threat. Is this criminal holding me hostage? Are they insane or on drugs? Etc.";"";"kG8i9QEdJL";"Denmark";7;7;7;7;6;6;4;4
6;"";0;0;0;1;0;2;4;1;5;1;6;6;6;6;6;6;6;6;4;"If the scenario is, that you are forced to open your door for someone unwelcome then it is a great system. But that is the only time i see it being useful, and i dont think that it's as likely to happen as someone trying to break in while you are home. But i think it would work great";"No concerns. I think it would work as good as a normal home security system, but with the extra option to call for help if you are feeling threatened when you come home.";"";"GZImU12HO6";"Denmark";2;7;6;6;6;7;6;6
6;"";0;0;0;1;0;3;2;4;4;5;5;7;6;4;4;5;4;3;4;"";"";"";"wdUwnEKxdy";"Denmark";5;6;7;3;4;5;4;4
3;"";0;0;0;1;0;3;4;2;3;1;3;4;3;4;4;2;2;4;3;"";"if my life was threatened i would have a hard time relying on the system, but i guess it is better than nothing";"";"SxAyGsDuKG";"Denmark";5;5;5;5;3;4;4;4
